Date;Y;X1;X2;X3;X4;X5;X6
2018-08-18 00:10:00+00:00;1701.616572;25.17030022;43.53125489;66.58210711;1752.216733;33.94444444;0.926003822
2018-08-18 00:20:00+00:00;1690.965505;25.2397943;49.1084243;74.9901998;1753.05637;38.2811153;-1.082422592
2018-08-18 00:30:00+00:00;1510.41415;25.2715503;49.2377095;74.4650205;1678.46909;38.36875;-1.32863348
2018-08-18 00:40:00+00:00;1657.95609;25.3196913;49.2549816;74.765213;1736.65418;38.312401;0.305158969
2018-08-18 00:50:00+00:00;1434.233045;25.3232719;49.2974354;74.0443857;1645.4569;38.3125;-0.50571928
2018-08-18 01:00:00+00:00;1397.72416;25.3641296;49.2743208;73.5308185;1644.47654;38.264133;0.108764211
2018-08-18 01:10:00+00:00;1354.203013;25.4278234;49.2536027;73.3609385;1604.05941;38.1875;0.189297635
2018-08-18 01:20:00+00:00;1037.323907;25.3685881;48.8641098;71.4996274;1510.18528;38.107167;0.599161912
2018-08-18 01:30:00+00:00;1100.832712;25.3662494;48.6122749;71.2016218;1514.00385;37.9184793;-0.434781314
2018-08-18 01:40:00+00:00;1457.431585;25.4156326;48.848007;72.739037;1686.56469;37.8312477;1.779431297
2018-08-18 01:50:00+00:00;1444.738438;25.4967207;49.0865644;73.4074334;1637.56083;37.934383;-0.275292803
2018-08-18 02:00:00+00:00;1541.21548;25.6479558;49.1869583;74.0487531;1713.86365;38.1371712;-0.216241067
2018-08-18 02:10:00+00:00;1671.395955;25.6821912;49.3061305;74.9880326;1740.4173;38.350003;-1.789446545
2018-08-18 02:20:00+00:00;1633.73654;25.7758913;49.3509537;75.5022593;1699.27601;38.606248;0.100782228
2018-08-18 02:30:00+00:00;1427.501483;25.8535165;49.3705293;75.037541;1676.64581;38.8434944;0.851738411
2018-08-18 02:40:00+00:00;1660.104975;25.8432135;49.5160644;75.7992538;1732.73863;39.0565506;0.101570911
2018-08-18 02:50:00+00:00;1697.30144;25.9522438;49.5632494;76.3283951;1755.74972;39.256077;-0.625982085
2018-08-18 03:00:00+00:00;1571.99779;26.2245298;49.5883274;76.3771316;1709.25648;39.4956334;-0.489864774
2018-08-18 03:10:00+00:00;1702.561885;26.5504977;49.5754081;76.7036307;1758.46682;39.7625;-1.937878527
2018-08-18 03:20:00+00:00;1717.85605;26.7634003;49.2469957;77.0284225;1749.63864;40.0625412;0.468717281
2018-08-18 03:30:00+00:00;1714.269785;26.983731;49.0002714;77.093964;1756.65403;40.393848;0.801756786
2018-08-18 03:40:00+00:00;1724.982319;27.03495686;36.54057488;57.89991613;1754.598486;30.4765625;0.603088403
2018-08-18 03:50:00+00:00;1728.055995;27.3378594;48.54200689;77.351596;1758.5896;40.95861944;-1.074593727
2018-08-18 04:00:00+00:00;1717.576295;27.3968873;48.2887363;77.523877;1755.86337;41.15324409;-0.968646112
2018-08-18 04:10:00+00:00;1722.058685;27.4867281;48.1894288;77.6865065;1757.98968;41.20329556;0.182557913
2018-08-18 04:20:00+00:00;1723.45613;27.8306448;48.2016704;77.4550119;1751.13058;41.2760334;-0.753384158
2018-08-18 04:30:00+00:00;1731.03597;27.8711487;48.0748347;77.2128956;1754.38119;41.42635545;0.936436856
2018-08-18 04:40:00+00:00;1720.234815;27.9839674;47.8936411;77.0305065;1750.66125;41.48479589;-0.402591392
2018-08-18 04:50:00+00:00;1723.125;28.0130789;47.9912096;76.9106738;1751.80184;41.5687496;-0.997826506
2018-08-18 08:00:00+00:00;1486.308527;31.6317912;41.7188927;64.1147244;1635.73697;44.149737;1.34157301
2018-08-18 08:10:00+00:00;1712.039805;31.54090567;38.5695796;65.1150486;1759.395222;38.5916737;-0.457207841
2018-08-18 08:20:00+00:00;1734.8787;31.88336233;43.6455695;74.886692;1761.0259;42.796875;0.119544188
2018-08-18 08:30:00+00:00;1728.084015;31.866853;44.0367876;75.9403999;1753.47296;43.068839;-0.199020323
2018-08-18 08:40:00+00:00;1715.92358;31.8059654;44.3857078;76.6211388;1752.80869;43.44375;-1.58316848
2018-08-18 08:50:00+00:00;1730.6483;31.98334622;40.1959618;69.4123874;1751.529222;39.378389;-1.624656788
2018-08-18 09:00:00+00:00;1724.169539;31.99755833;44.9632215;77.36184925;1754.2427;44.11717675;0.386130837
2018-08-18 09:10:00+00:00;1701.515885;32.15227043;38.64157943;66.280603;1750.116771;37.88435086;0.572749295
2018-08-18 09:20:00+00:00;1733.887625;32.2450706;45.3329943;77.3103265;1753.36925;44.3875;-1.456141605
2018-08-18 09:30:00+00:00;1723.41365;32.3155522;45.5744726;77.2844254;1754.42387;44.5375;0.11017747
2018-08-18 09:40:00+00:00;1709.754529;32.45631457;39.15708071;66.27870857;1755.4052;38.3125;0.988093647
2018-08-18 09:50:00+00:00;1721.783515;32.4042514;45.8761099;77.3682261;1761.99205;44.8686611;-0.261750269
2018-08-18 10:00:00+00:00;1720.291315;32.222295;46.0277031;77.437031;1753.50504;44.99402;-2.914486916
2018-08-18 10:10:00+00:00;1724.0506;32.1511694;46.1826181;77.5067962;1756.3638;45.0232052;-2.249483768
2018-08-18 10:20:00+00:00;1719.624853;32.28403913;41.07272167;68.89861333;1760.088825;40.02091444;0.16190756
2018-08-18 10:30:00+00:00;1720.821146;32.30083767;46.3771854;77.5144838;1756.3325;45.125;-0.466030744
2018-08-18 10:40:00+00:00;1717.31149;32.2747192;46.4829088;77.551193;1760.35684;45.1988986;-0.643265955
2018-08-18 10:50:00+00:00;1730.937875;32.1390847;46.7151352;77.578724;1753.5981;45.25;-0.347418255
2018-08-18 11:00:00+00:00;1714.127985;31.9159519;46.7269499;77.6152921;1758.95495;45.21875;-0.705889778
2018-08-18 11:10:00+00:00;1727.727179;31.8981005;46.7668441;77.5937565;1754.4913;45.1751186;-1.231489937
2018-08-18 11:20:00+00:00;1717.92827;31.7368876;47.1016647;77.5695919;1753.03187;45.28125;0.139310553
2018-08-18 11:30:00+00:00;1722.148025;31.6231525;47.1650723;77.588015;1755.70913;45.275995;-0.60053178
2018-08-18 11:40:00+00:00;1716.93078;31.600019;39.45016667;64.65751833;1763.9365;37.71922817;2.00314444
2018-08-18 11:50:00+00:00;1723.246015;31.3725302;47.37440544;77.59293556;1756.95025;45.02778833;-0.919041534
2018-08-18 12:00:00+00:00;1723.604255;30.9878975;47.3032827;77.5616249;1755.10924;44.9371977;0.88652297
2018-08-18 12:10:00+00:00;1720.887454;30.94063243;41.36685925;67.8440385;1755.059071;39.1483725;3.492430923
