Y;X4
1718.923767;1755.54099
1721.000758;1753.029844
1720.742258;1751.392011
1736.691025;1749.349267
1720.978474;1761.339944
1719.472242;1751.92836
1722.736268;1749.080244
1717.741411;1752.74148
1728.867542;1754.130111
1715.22485;1755.109856
1722.256475;1754.79437
1714.931126;1751.69029
1719.47195;1751.94453
1717.13593;1755.80851
1723.109985;1754.33206
1721.71176;1754.36064
1715.55152;1754.68847
1712.57969;1750.28748
1711.824305;1752.56856
1718.871961;1757.5977
1720.54505;1760.873089
1722.108611;1754.3851
1717.060045;1754.26576
1719.01675;1754.52903
1720.158556;1754.709633
1720.63662;1756.37065
1721.667485;1754.28528
1727.322535;1751.98528
1713.829945;1753.78594
1719.462933;1755.8525
1715.825775;1754.9123
1715.584494;1753.028522
1722.582575;1753.96168
1717.431595;1753.90053
1716.684815;1753.67373
1716.459875;1754.18585
1720.13415;1751.98742
1716.842565;1751.65304
1706.70311;1749.01415
1638.460705;1732.82124
1657.41804;1731.78323
1425.277418;1650.03922
1293.460975;1614.88091
1441.50432;1663.64968
1636.419565;1725.02261
1718.010922;1733.245167
1702.18906;1737.47831
1701.616572;1752.216733
1690.965505;1753.05637
1510.41415;1678.46909
1657.95609;1736.65418
1434.233045;1645.4569
1397.72416;1644.47654
1354.203013;1604.05941
1037.323907;1510.18528
1100.832712;1514.00385
1457.431585;1686.56469
1444.738438;1637.56083
1541.21548;1713.86365
1671.395955;1740.4173
1633.73654;1699.27601
1427.501483;1676.64581
1660.104975;1732.73863
1697.30144;1755.74972
1571.99779;1709.25648
1702.561885;1758.46682
1717.85605;1749.63864
1714.269785;1756.65403
1724.982319;1754.598486
1728.055995;1758.5896
1717.576295;1755.86337
1722.058685;1757.98968
1723.45613;1751.13058
1731.03597;1754.38119
1720.234815;1750.66125
1723.125;1751.80184
1486.308527;1635.73697
1712.039805;1759.395222
1734.8787;1761.0259
1728.084015;1753.47296
1715.92358;1752.80869
1730.6483;1751.529222
1724.169539;1754.2427
1701.515885;1750.116771
1733.887625;1753.36925
1723.41365;1754.42387
1709.754529;1755.4052
1721.783515;1761.99205
1720.291315;1753.50504
1724.0506;1756.3638
1719.624853;1760.088825
1720.821146;1756.3325
1717.31149;1760.35684
1730.937875;1753.5981
1714.127985;1758.95495
1727.727179;1754.4913
1717.92827;1753.03187
1722.148025;1755.70913
1716.93078;1763.9365
1723.246015;1756.95025
1723.604255;1755.10924
1720.887454;1755.059071
1716.156038;1755.133967
1725.391365;1761.76991
1716.459015;1755.63014
1726.978405;1758.09956
1710.86778;1759.86708
1706.421215;1757.8055
1726.908235;1756.52293
1716.59587;1756.33469
1724.55103;1754.3214
1727.6564;1751.61365
1714.303015;1749.35438
1717.900055;1759.89883
1715.24647;1761.62581
1720.265515;1760.42872
1713.24045;1753.485225
1720.807361;1752.1285
1723.40368;1754.98306
1727.024685;1757.4613
1706.288385;1758.01677
1703.83865;1753.12857
1725.02184;1752.08265
1721.816578;1753.486989
1723.647038;1749.487175
1722.353322;1759.021544
1723.52714;1751.71545
1714.98025;1755.53979
1718.163345;1759.43374
1712.360095;1750.58498
1722.758445;1755.77708
1716.131494;1763.424833
1713.313695;1755.84765
1714.324018;1754.639122
1711.758455;1755.42205
1727.624205;1761.19936
1717.135995;1753.03248
1731.3007;1756.22087
1721.35642;1755.05694
1722.782205;1754.10498
1718.6637;1756.771922
1724.26821;1754.80943
1720.930244;1752.143911
1716.48659;1755.71873
1719.70679;1751.77229
1723.30801;1751.87007
1717.936955;1758.44566
1722.6821;1752.29403
1722.339355;1756.51626
1724.091115;1758.12287
1712.454665;1755.91368
1723.967478;1750.139522
1721.551711;1756.895322
1721.915755;1760.11043
1722.006785;1756.00382
1719.14193;1754.51841
1717.5933;1756.15683
1722.53646;1754.66437
1720.29634;1750.53302
1716.567565;1756.50463
1715.226825;1750.77857
1715.99479;1757.21443
1717.6444;1756.22826
1719.63747;1749.73608
1720.740139;1753.9601
1714.10975;1747.797
1714.538778;1749.466911
1720.05792;1749.20511
1721.20736;1754.98774
1685.505355;1742.20343
1709.39908;1759.8509
1715.288885;1747.93723
1724.56758;1749.88145
1720.867825;1751.52303
1725.126595;1749.74032
1716.73684;1755.41305
1720.429185;1754.23636
1697.63919;1748.52998
1722.44776;1754.46888
1703.059955;1739.16587
1720.655155;1755.47285
1717.18641;1749.20459
1716.30643;1750.88958
1715.04148;1760.33821
1720.42729;1755.88481
1725.64053;1757.92474
1725.85811;1759.71922
1722.21538;1755.05903
1710.838405;1753.85794
1717.46905;1751.70036
1720.39958;1752.59268
1724.095655;1758.43743
1722.66172;1752.59492
1719.919425;1760.17121
1721.715339;1753.594611
1722.377;1754.578043
1718.346045;1752.85736
1711.72838;1757.44126
1713.74573;1754.40268
1714.9129;1748.47777
1720.505485;1765.32042
1729.8532;1755.20039
1721.83207;1749.38677
1722.637955;1750.04074
1728.669275;1752.99284
1715.827655;1758.18875
1724.307576;1746.187563
1724.755975;1747.11545
1722.474175;1756.39755
1715.42962;1750.81316
1731.863259;1755.0175
1722.001247;1756.42312
1715.49102;1760.86802
1712.80532;1753.31085
1713.88675;1757.3522
1730.229173;1754.53085
1739.2983;1752.734171
1721.000586;1755.588633
1715.277644;1748.06526
1728.610716;1756.10085
1727.870845;1748.19568
1716.87962;1753.6567
1720.943125;1754.41462
1720.196195;1748.70205
1718.421785;1752.88638
1715.33217;1753.82031
1721.804315;1756.4507
1729.22194;1748.34416
1726.037885;1755.88066
1719.9131;1755.81882
1726.350455;1758.01897
1717.812093;1755.734657
1722.272673;1754.955725
1716.02668;1748.21687
1730.296435;1753.20936
1723.12783;1751.14893
1723.215795;1750.2877
1716.8578;1757.35633
1712.331095;1748.22093
1715.16427;1755.11675
1728.18827;1752.91729
